1875.0,16.000000
1868.0,23.000000
1856.0,28.000000
1841.0,39.000000
1839.0,44.000000
1830.0,58.000000
1817.0,60.000000
1815.0,76.000000
1806.0,2017.000000
1804.0,2033.000000
1795.0,2343.000000
1793.0,2359.000000
1786.0,2542.000000
1773.0,2544.000000
1771.0,2609.000000
1769.0,27987.000000
1767.0,28052.000000
1765.0,31575.000000
1763.0,31640.000000
1757.0,32896.000000
1755.0,33222.000000
1753.0,334625.000000
1748.0,371485.000000
1746.0,371811.000000
1745.0,381923.000000
1744.0,481412.000000
1743.0,491524.000000
1741.0,540453.000000
1739.0,1357895.000000
1737.0,1358221.000000
1733.0,1367746.000000
1731.0,1368333.000000
1729.0,4108361.000000
1728.0,4399652.000000
1724.0,4409177.000000
1722.0,4409764.000000
1721.0,4482179.000000
1720.0,5396174.000000
1719.0,5468589.000000
1717.0,5865893.000000
