694.0,6235301.000000
692.0,6235302.000000
655.0,6235304.000000
653.0,6235306.000000
651.0,6235323.000000
649.0,6235341.000000
647.0,6235344.000000
645.0,6235401.000000
644.0,6235461.000000
642.0,6235467.000000
640.0,6235527.000000
636.0,6235633.000000
634.0,6235657.000000
632.0,6235969.000000
631.0,6236622.000000
627.0,6238039.000000
625.0,6238081.000000
623.0,6239689.000000
622.0,6243209.000000
620.0,6245129.000000
619.0,6249855.000000
617.0,6249889.000000
615.0,6259697.000000
613.0,6260009.000000
611.0,6271769.000000
610.0,6300329.000000
608.0,6312089.000000
606.0,6340385.000000
604.0,6341105.000000
602.0,6354785.000000
601.0,6381089.000000
599.0,6393287.000000
597.0,6393449.000000
595.0,6474305.000000
594.0,6570569.000000
592.0,6571505.000000
591.0,6574889.000000
590.0,9514865.000000
589.0,9518249.000000
